,id_target,disposition,period,duration,koi_time0bk
4434,11153476,CANDIDATE,7.94004281,3.282,135.4315
4435,6144039,CANDIDATE,2.85855049,2.341,132.28415
4438,5985713,CANDIDATE,8.95294046,2.995,134.33731
4440,6839010,CANDIDATE,4.84350003,3.045,134.81488
4441,9775385,CANDIDATE,45.163025,7.03,159.8536
4442,6197344,CANDIDATE,36.7614011,15.982,137.7551
4443,11357664,CANDIDATE,4.373570433,0.623,133.82814
4446,7272132,CANDIDATE,154.674369,9.35,177.3621
4452,8430053,CANDIDATE,15.9513866,2.285,146.45425
4455,12458605,CANDIDATE,7.7859111,7.788,137.8734
4458,4953173,CANDIDATE,31.183688,6.14,155.9588
4462,5352640,CANDIDATE,2.94242323,1.519,133.86084
4470,4048898,CANDIDATE,13.0914878,2.037,143.75198
4478,4587135,CANDIDATE,54.0812235,6.279,145.2689
4491,5511659,CANDIDATE,8.5291223,3.241,135.74043
4498,7583650,CANDIDATE,6.4546845,3.071,135.5436
4501,3867794,CANDIDATE,0.494247662,1.2443,131.84441
4502,5819801,CANDIDATE,11.8299383,5.168,138.3039
4507,6276791,CANDIDATE,5.30179786,2.24,135.9927
4512,10140122,CANDIDATE,0.849362238,1.36,132.14191
4513,5033823,CANDIDATE,0.741768294,0.4164,131.57747
4516,3223433,CANDIDATE,61.083322,10.396,132.494
4517,8803757,CANDIDATE,3.5944891,2.557,132.36207
4519,9479306,CANDIDATE,4.8608059,1.966,135.76776
4520,5437762,CANDIDATE,4.04481159,2.479,133.60007
4528,4996057,CANDIDATE,4.8302364,7.983,134.9522
4529,8349399,CANDIDATE,56.446465,7.371,170.59
4530,6043562,CANDIDATE,31.4202111,4.021,132.7457
4532,4919550,CANDIDATE,5.56676609,1.812,132.49956
4537,5645170,CANDIDATE,5.38613715,1.943,133.95782
4538,8216763,CANDIDATE,13.2965044,5.68,136.5669
4539,9110610,CANDIDATE,21.8420304,3.843,150.82731
4544,5208962,CANDIDATE,0.876850385,1.534,131.77033
4547,4742188,CANDIDATE,413.51856,10.395,374.3587
4548,8301878,CANDIDATE,20.7106368,2.693,140.89982
4551,10221505,CANDIDATE,3.43633133,0.675,132.42697
4554,11658036,CANDIDATE,142.703888,5.808,212.0311
4555,8397947,CANDIDATE,3.38080537,3.275,133.94842
4556,6665860,CANDIDATE,10.4716194,4.512,136.2877
4557,7983117,CANDIDATE,11.49500229,7.602,141.27511
4561,5769810,CANDIDATE,6.78788113,2.26,136.3345
4562,12071754,CANDIDATE,5.47455167,3.71,133.55529
4563,10384298,CANDIDATE,3.43861067,1.264,132.68641
4564,3109550,CANDIDATE,4.8754765,1.902,133.29167
4569,6131130,CANDIDATE,10.5071781,2.68,139.66432
4571,4742452,CANDIDATE,5.4398033,3.256,135.1594
4574,7906892,CANDIDATE,8.8493948,6.928,139.786
4575,4277304,CANDIDATE,51.567801,5.514,168.873
4576,8626325,CANDIDATE,16.4491515,6.696,145.7441
4577,3098605,CANDIDATE,0.428046051,0.776,131.83682
4579,8320630,CANDIDATE,19.254536,4.754,148.0172
